cb_code;Type;Attribut;Valeur N-1;Valeur N
4604730;Modification;cb_lgreel;1077.0555;1072.2127
17810274;Modification;cb_lgreel;1220.4215;1229.7611
17810275;Modification;cb_lgreel;1024.5448;1059.3556
17810273;Modification;cb_lgreel;1066.1386;1093.3482
17810276;Modification;cb_lgreel;847.4118;966.855
10797927;Modification;cb_lgreel;79.7537;108.0017
21349234;Modification;cb_lgreel;976.7769;1199.3848
17892209;Modification;cb_lgreel;1459.5813;1427.0371
21349233;Modification;cb_lgreel;1420.7186;1484.0594
25469860;Modification;cb_lgreel;445.0118;449.2039
4613047;Modification;cb_lgreel;986.5773;1020.7675
17589202;Modification;cb_lgreel;238.9624;237.7478
7685075;Modification;cb_lgreel;254.9911;293.9196
20292577;Modification;cb_lgreel;1475.7147;1530.1882
20292579;Modification;cb_lgreel;746.5456;810.2399
15565812;Modification;cb_lgreel;469.4179;933.5945
4613118;Modification;cb_lgreel;229.3274;743.6656
8872963;Modification;cb_lgreel;28.6499;2.2218
4596755;Modification;cb_lgreel;434.6836;387.9672
4596756;Modification;cb_lgreel;29.9892;64.2882
23266337;Modification;cb_lgreel;896.9528;890.7693
23594018;Modification;cb_lgreel;623.9986;683.2545
23348257;Modification;cb_lgreel;1624.213;1625.3989
23594019;Modification;cb_lgreel;1019.6739;1054.12
33342500;Modification;cb_lgreel;1055.8946;1421.2662
23266338;Modification;cb_lgreel;795.3356;828.5587
18457665;Modification;cb_lgreel;647.5706;654.114
18457666;Modification;cb_lgreel;1600.2311;1615.0564
18457667;Modification;cb_lgreel;450.6609;455.7838
17392738;Modification;cb_lgreel;1512.7745;1359.5617
25543780;Modification;cb_lgreel;9.2121;7.1892
17392739;Modification;cb_lgreel;1088.0422;1112.4576
23331968;Modification;cb_lgreel;758.022;785.0301
25134210;Modification;cb_lgreel;1131.2163;1169.3959
4629634;Modification;cb_lgreel;1034.0579;1127.5449
4605070;Modification;cb_lgreel;465.3771;474.0252
4629726;Modification;cb_lgreel;255.2995;272.136
4629728;Modification;cb_lgreel;295.7938;294.5555
4629729;Modification;cb_lgreel;267.6078;270.0898
38536417;Modification;cb_lgreel;1043.0706;1078.6908
4629730;Modification;cb_lgreel;100.6485;118.356
4637926;Modification;cb_lgreel;528.9501;530.2233
4637955;Modification;cb_lgreel;250.4723;249.2697
